title	tomato_meter	audience_score	date	directors
Te3n	67	69	2016	['Ribhu Dasgupta']
Im Labyrinth des Schweigens	82	77	2014	['Giulio Ricciarelli']
Hobgoblins	None	11	1988	['Rick Sloane']
A Dirty Shame	53	51	2004	['John Waters']
Trauma Center	None	60	2019	['Matt Eskandari']
Red Road	88	71	2006	['Andrea Arnold']
Boys on the Side	74	69	1995	['Herbert Ross']
Stay Tuned	47	55	1992	['Peter Hyams']
Mark Felt: The Man Who Brought Down the White House	36	39	2017	['Peter Landesman']
The Kissing Booth 3	25	17	2021	['Vince Marcello']
Bang Bang You're Dead	None	90	2002	['Guy Ferland']
Resident Evil: Vendetta	43	46	2017	['Takanori Tsujimoto']
Batman and Harley Quinn	45	51	2017	['Sam Liu']
The Duke of Burgundy	94	65	2014	['Peter Strickland']
TiMER	64	63	2009	['Jac Schaeffer']
Lost Horizon	93	82	1937	['Frank Capra']
Trailer Park Boys: The Movie	57	78	2006	['Mike Clattenburg']
On the Beach	77	69	1959	['Stanley Kramer']
3 Ninjas: High Noon at Mega Mountain	0	29	1998	['Sean McNamara']
Extracted	None	48	2012	['Nir Paniry']
Snow Cake	64	86	2006	['Marc Evans']
Captain America	12	18	1990	['Albert Pyun']
3096 Tage	None	48	2013	['Sherry Hormann']
Oorlogswinter	74	77	2008	['Martin Koolhoven']
Anatomie	58	47	2000	['Stefan Ruzowitzky']
Tom Jones	82	58	1963	['Tony Richardson']
Henry Poole Is Here	40	52	2008	['Mark Pellington']
Welcome to Mooseport	13	19	2004	['Donald Petrie']
Like a Boss	21	65	2020	['Miguel Arteta']
Slums of Beverly Hills	81	68	1998	['Tamara Jenkins']
Crying Freeman	None	72	1995	['Christophe Gans']
Hallam Foe	73	72	2007	['David Mackenzie']
Veere Di Wedding	50	25	2018	['Shashanka Ghosh']
Manhattan Nocturne	35	52	2016	['Brian DeCubellis']
She's Having a Baby	43	52	1988	['John Hughes']
A Shaun the Sheep Movie: Farmageddon	96	81	2019	['Will Becher', 'Richard Phelan']
Miss Lovely	56	41	2012	['Ashim Ahluwalia']
Shinobi	None	76	2005	['Ten Shimoyama']
Black Box	70	66	2020	['Emmanuel Osei-Kuffour']
Chances Are	67	65	1989	['Emile Ardolino']
Shade	67	58	2003	['Damian Nieman']
Veronika Decides to Die	None	50	2009	['Emily Young']
Joshua	62	42	2007	['George Ratliff']
Hanging Up	12	34	2000	['Diane Keaton']
Daydream Nation	68	50	2010	['Michael Goldbach']
Teen Wolf Too	9	18	1987	['Christopher Leitch']
100 Feet	None	30	2008	['Eric Red']
The Exception	74	67	2016	['David Leveaux']
You Get Me	None	26	2017	['Brent Bonacorso']
Geetha Govindam	None	60	2018	['Parasuram']
Adulthood	None	71	2008	['Noel Clarke']
Music of the Heart	63	72	1999	['Wes Craven']
Horse Feathers	97	86	1932	['Norman Z. McLeod']
Robin and Marian	73	53	1976	['Richard Lester']
Outlaw	21	52	2007	['Nick Love']
Kumbalangi Nights	None	94	2019	['Madhu C. Narayanan']
Light of My Life	82	73	2019	['Casey Affleck']
Pariyerum Perumal	None	87	2018	['Mari Selvaraj', 'Prabunath']
The Last Letter from Your Lover	56	66	2021	['Augustine Frizzell']
Humpty Sharma Ki Dulhania	None	44	2014	['Shashank Khaitan']
Office Uprising	None	75	2018	['Lin Oeding']
Mr. Morgan's Last Love	31	53	2013	['Sandra Nettelbeck']
The Secret Life of Words	69	86	2005	['Isabel Coixet']
Loving Annabelle	None	77	2006	['Katherine Brooks']
One Chance	63	64	2013	['David Frankel']
The Boss Baby: Family Business	45	89	2021	['Tom McGrath']
Charlotte Gray	33	62	2001	['Gillian Armstrong']
Conversations with Other Women	74	76	2005	['Hans Canosa']
Billionaire Boys Club	7	34	2018	['James Cox']
The Sheltering Sky	50	79	1990	['Bernardo Bertolucci']
Flashbacks of a Fool	38	51	2008	['Baillie Walsh']
Carnal Knowledge	87	72	1971	['Mike Nichols']
Manikarnika: The Queen of Jhansi	50	78	2019	['Radha Krishna Jagarlamudi', 'Kangana Ranaut']
Deathwatch	25	42	2002	['M.J. Bassett']
Wings	93	79	1927	['William A. Wellman', "Harry d'Abbadie d'Arrast"]
Being Julia	76	74	2004	['István Szabó']
Dunston Checks In	12	40	1996	['Ken Kwapis']
Candyman: Farewell to the Flesh	25	30	1995	['Bill Condon']
The Hollars	47	59	2016	['John Krasinski']
Jade	13	27	1995	['William Friedkin']
The Children Act	74	64	2017	['Richard Eyre']
Palindromes	43	69	2004	['Todd Solondz']
USS Indianapolis: Men of Courage	17	30	2016	['Mario Van Peebles']
2001 Maniacs	None	48	2005	['Tim Sullivan']
Fritz the Cat	57	59	1972	['Ralph Bakshi']
Ten Inch Hero	None	81	2007	['David Mackay']
The English Teacher	41	30	2013	['Craig Zisk']
Beast	92	74	2017	['Michael Pearce']
Absolutely Fabulous: The Movie	58	41	2016	['Mandie Fletcher']
Il capitale umano	81	77	2013	['Paolo Virzì']
Inventing the Abbotts	31	51	1997	["Pat O'Connor"]
Mardaani	70	71	2014	['Pradeep Sarkar']
The Young Offenders	100	84	2016	['Peter Foott']
Mine vaganti	72	73	2010	['Ferzan Ozpetek']
Sairat	100	84	2016	['Nagraj Manjule']
The Possession of Michael King	32	39	2014	['David Jung']
Mon roi	72	78	2015	['Maïwenn']
Santa Claus: The Movie	20	66	1985	['Jeannot Szwarc']
Dance Flick	18	30	2009	['Damien Dante Wayans']
Lean on Pete	90	74	2017	['Andrew Haigh']
Calvaire	46	51	2004	['Fabrice du Welz']
Table No.21	None	54	2013	['Aditya Datt']
The Longest Week	10	21	2014	['Peter Glanz']
Dread	None	45	2009	['Anthony DiBlasi']
Dutch	17	62	1991	['Peter Faiman']
The Humanity Bureau	25	22	2017	['Rob W. King']
Exit 0	None	29	2019	['E.B. Hughes']
What Doesn't Kill You	65	46	2008	['Brian Goodman']
Big Jake	71	85	1971	['George Sherman', 'John Wayne']
Chupke Chupke	None	92	1975	['Hrishikesh Mukherjee']
A Field in England	86	58	2013	['Ben Wheatley']
Forget Paris	50	56	1995	['Billy Crystal']
Red Dot	70	31	2021	['Alain Darborg']
The Eyes of My Mother	78	57	2016	['Nicolas Pesce']
The Secret: Dare to Dream	28	73	2020	['Andy Tennant']
Hombre	93	80	1967	['Martin Ritt']
Bird	83	79	1988	['Clint Eastwood']
God's Not Dead 2	10	62	2016	['Harold Cronk']
Gulabo Sitabo	73	55	2020	['Shoojit Sircar']
Shampoo	62	53	1975	['Hal Ashby']
The Road to Wellville	41	44	1994	['Alan Parker']
Mindhorn	92	59	2016	['Sean Foley']
Snow Day	29	27	2000	['Chris Koch']
The Romantics	14	21	2010	['Galt Niederhoffer']
Mo' Better Blues	71	75	1990	['Spike Lee']
Waxwork	60	46	1988	['Anthony Hickox']
Cut Bank	36	29	2014	['Matt Shakman']
Clockwise	80	66	1986	['Christopher Morahan']
Mr. Destiny	38	55	1990	['James Orr']
Jersey	None	90	2019	['Gowtam Tinnanuri']
Ask Me Anything	None	46	2014	['Allison Burnett']
Mucize	None	68	2015	['Mahsun Kirmizigül']
The Foot Fist Way	54	46	2006	['Jody Hill']
My Little Eye	67	38	2002	['Marc Evans']
Johnny Gaddaar	None	88	2007	['Sriram Raghavan']
The Bronze	36	45	2015	['Bryan Buckley']
December Boys	41	52	2007	['Rod Hardy']
Holding the Man	81	81	2015	['Neil Armfield']
Jilla	None	58	2014	['R.T. Neason']
The Deep	48	38	1977	['Peter Yates']
One True Thing	89	71	1998	['Carl Franklin']
Goodbye Bafana	44	81	2007	['Bille August']
Ensemble, c'est tout	100	75	2007	['Claude Berri']
Fat Albert	23	44	2004	['Joel Zwick']
Wild Orchid	7	44	1989	['Zalman King']
Lone Wolf McQuade	57	66	1983	['Steve Carver']
2001: A Space Travesty	None	17	2000	['Allan A. Goldstein']
I Love Trouble	22	33	1994	['Charles Shyer']
Remo Williams: The Adventure Begins	39	58	1985	['Guy Hamilton']
Populaire	73	72	2012	['Régis Roinsard']
I Walked with a Zombie	85	73	1943	['Jacques Tourneur']
Indignation	81	74	2016	['James Schamus']
Ninja: Shadow of a Tear	100	43	2013	['Isaac Florentine']
Into the Night	40	49	1985	['John Landis']
Anna and the Apocalypse	77	62	2017	['John McPhail']
Shiva Baby	97	78	2020	['Emma Seligman']
Saala Khadoos	60	75	2016	['Sudha Kongara']
Luce	90	77	2019	['Julius Onah']
Ball of Fire	100	89	1941	['Howard Hawks']
White Hunter Black Heart	86	62	1990	['Clint Eastwood']
Leave Her to Heaven	84	85	1945	['John M. Stahl']
Bucky Larson: Born to Be a Star	3	25	2011	['Tom Brady']
Madea Goes to Jail	29	96	2009	['Tyler Perry']
Rock the Kasbah	7	28	2015	['Barry Levinson']
Rio Lobo	70	71	1970	['Howard Hawks']
Blueberry	22	49	2004	['Jan Kounen']
Srimanthudu	None	70	2015	['Koratala Siva']
Play It to the Bone	11	25	1999	['Ron Shelton']
The Tax Collector	19	72	2020	['David Ayer']
Germania anno zero	95	86	1948	['Roberto Rossellini']
The Mustang	95	74	2019	['Laure de Clermont-Tonnerre']
Housefull 4	33	61	2019	['Farhad Samji']
Machuca	87	91	2004	['Andrés Wood']
Billy Bathgate	38	28	1991	['Robert Benton']
Yves Saint Laurent	44	39	2014	['Jalil Lespert']
Kumiko, the Treasure Hunter	88	62	2014	['David Zellner']
Paid in Full	53	93	2002	['Charles Stone III']
Sleepwalk with Me	84	71	2012	['Mike Birbiglia', 'Seth Barrish']
Girls Just Want to Have Fun	38	77	1985	['Alan Metter']
Villains	85	78	2019	['Dan Berk', 'Robert Olsen']
Freaks of Nature	None	45	2015	['Robbie Pickering']
From a House on Willow Street	50	80	2016	['Alastair Orr']
Against All Odds	64	45	1984	['Taylor Hackford']
Porky's II: The Next Day	11	40	1983	['Bob Clark']
A Case of You	47	26	2013	['Kat Coiro']
The Hit List	None	22	2011	['William Kaufman']
Killers Anonymous	0	17	2019	['Martin Owen']
Edmond	47	46	2005	['Stuart Gordon']
Work It	85	59	2020	['Laura Terruso']
Three O'Clock High	62	73	1987	['Phil Joanou']
Sherrybaby	75	57	2006	['Laurie Collyer']
All I See Is You	29	31	2016	['Marc Forster']
Then Came You	59	74	2018	['Peter Hutchings']
Gunga Din	92	74	1939	['George Stevens']
Vivegam	None	55	2017	['Siva']
Wake in Fright	96	83	1971	['Ted Kotcheff']
Alligator	80	48	1980	['Lewis Teague']
Shock Corridor	95	82	1963	['Samuel Fuller']
Code Name: The Cleaner	4	38	2007	['Les Mayfield']
Sherlock Gnomes	27	36	2018	['John Stevenson']
Where the Buffalo Roam	17	73	1980	['Art Linson']
Outsourced	76	73	2006	['John Jeffcoat']
Hyde Park on Hudson	37	31	2012	['Roger Michell']
Aftershock	39	24	2012	['Nicolás López']
Life in a Metro	40	78	2007	['Anurag Basu']
Charley Varrick	84	82	1973	['Don Siegel']
Brake	44	40	2012	['Gabe Torres']
My Mom's New Boyfriend	None	29	2008	['George Gallo']
Toivon tuolla puolen	92	76	2017	['Aki Kaurismäki']
XX	70	20	2017	['Directors', 'Roxanne Benjamin', 'Sofìa Carrillo', 'Karyn Kusama']
Secret of the Wings	62	78	2012	['Bobs Gannaway', 'Peggy Holmes']
Amazon Women on the Moon	63	57	1987	['Directors', 'Joe Dante', 'Carl Gottlieb', 'Peter Horton']
Bronco Billy	75	47	1980	['Clint Eastwood']
One Week	50	73	2008	['Michael McGowan']
Santa Claus Conquers the Martians	22	27	1964	['Nicholas Webster']
The Man Who Killed Hitler and Then the Bigfoot	75	51	2018	['Robert D. Krzykowski']
Badrinath Ki Dulhania	80	60	2017	['Shashank Khaitan']
Acts of Vengeance	55	25	2017	['Isaac Florentine']
No One Killed Jessica	80	67	2011	['Raj Kumar Gupta']
Amusement	None	26	2008	['John Simpson']
Karthik Calling Karthik	80	49	2010	['Vijay Lalwani']
Below Her Mouth	21	46	2016	['April Mullen']
DeepStar Six	9	25	1989	['Sean S. Cunningham']
Rooster Cogburn	50	70	1975	['Stuart Millar']
Monkey Shines	55	40	1988	['George A. Romero']
Modigliani	4	78	2004	['Mick Davis']
Moscow on the Hudson	86	59	1984	['Paul Mazursky']
Lay the Favorite	18	19	2012	['Stephen Frears']
L'amant double	70	49	2017	['François Ozon']
Three Fugitives	14	50	1989	['Francis Veber']
7 Aum Arivu	None	65	2011	['A.R. Murugadoss']
Matador	92	78	1986	['Pedro Almodóvar']
Black '47	78	77	2018	['Lance Daly']
42nd Street	96	74	1933	['Lloyd Bacon']
Pink Cadillac	20	25	1989	['Buddy Van Horn']
Red Joan	30	56	2018	['Trevor Nunn']
The Decoy Bride	23	51	2011	['Sheree Folkson']
Feuchtgebiete	91	66	2013	['David Wnendt']
Tristana	97	83	1970	['Luis Buñuel']
The One and Only Ivan	71	66	2020	['Thea Sharrock']
Smoke Signals	83	82	1998	['Chris Eyre']
Necessary Roughness	33	46	1991	['Stan Dragoti']
The Little Foxes	None	83	1941	['William Wyler']
Gentlemen Broncos	20	44	2009	['Jared Hess']
Sleepaway Camp II: Unhappy Campers	50	42	1988	['Michael A. Simpson']
Places in the Heart	89	83	1984	['Robert Benton']
How to Make an American Quilt	63	63	1995	['Jocelyn Moorhouse']
Ideal Home	68	65	2018	['Andrew Fleming']
Ladies in Lavender	64	66	2004	['Charles Dance']
Emergo	17	22	2011	['Carles Torrens']
Wizards	59	70	1977	['Ralph Bakshi']
Hounds of Love	88	69	2016	['Ben Young']
Ernest Goes to Camp	62	51	1987	['John R. Cherry III']
Baaghi 3	0	67	2020	['Ahmed Khan']
Danger Close: The Battle of Long Tan	71	74	2019	['Kriv Stenders']
Clay Pigeons	61	67	1998	['David Dobkin']
Surviving the Game	24	48	1994	['Ernest R. Dickerson']
Bamboozled	52	74	2000	['Spike Lee']
Murder Party	100	57	2007	['Jeremy Saulnier']
Please Give	87	64	2010	['Nicole Holofcener']
Like Someone in Love	83	61	2012	['Abbas Kiarostami', 'Shay Modaressi']
God's Pocket	36	32	2014	['John Slattery']
Terror Train	36	37	1980	['Roger Spottiswoode']
ATL	62	86	2006	['Chris Robinson']
My Life	42	74	1993	['Bruce Joel Rubin']
Ernest Scared Stupid	17	50	1991	['John R. Cherry III']
Next of Kin	56	45	1989	['John Irvin']
Thalapathi	None	86	1991	['Mani Ratnam']
Mohenjo Daro	36	47	2016	['Ashutosh Gowariker']
Alpeis	75	50	2011	['Yorgos Lanthimos']
People I Know	45	31	2002	['Daniel Algrant']
The United States vs. Billie Holiday	56	80	2021	['Lee Daniels']
Going My Way	81	74	1944	['Leo McCarey']
Mahanati	100	94	2018	['Nag Ashwin']
Mixed Nuts	10	47	1994	['Nora Ephron']
Arkansas	47	52	2020	['Clark Duke']
The Canyons	21	15	2013	['Paul Schrader']
Brainscan	13	60	1994	['John Flynn']
Aamir	None	80	2008	['Raj Kumar Gupta']
Ghulam	None	70	1998	['Vikram Bhatt']
StreetDance 3D	78	59	2010	['Max Giwa', 'Dania Pasquini']
Willow Creek	80	34	2013	['Bobcat Goldthwait']
Peacock	None	48	2010	['Michael Lander']
Hwal	86	78	2005	['Kim Ki-duk']
Elmer Gantry	94	87	1960	['Richard Brooks']
Fear and Desire	71	36	1953	['Stanley Kubrick']
Southside with You	92	71	2016	['Richard Tanne']
Madea's Family Reunion	26	93	2006	['Tyler Perry']
Voice from the Stone	38	34	2017	['Eric D. Howell']
River of No Return	57	53	1954	['Otto Preminger', 'Jean Negulesco']
Norma Rae	89	79	1979	['Martin Ritt']
Motel Hell	68	49	1980	['Kevin Connor']
Savage Grace	38	38	2007	['Tom Kalin']
Sonchiriya	80	89	2019	['Abhishek Chaubey']
Jigarthanda	None	94	2014	['Karthik Subbaraj']
Mouchette	88	86	1967	['Robert Bresson']
Dominion: Prequel to the Exorcist	30	25	2005	['Paul Schrader']
Fifty Dead Men Walking	83	68	2008	['Kari Skogland']
Run Silent Run Deep	100	79	1958	['Robert Wise']
And Then We Danced	93	95	2019	['Levan Akin']
Ankhon Dekhi	None	86	2013	['Rajat Kapoor']
Open Season 3	None	31	2010	['Cody Cameron']
Peter's Friends	68	78	1992	['Kenneth Branagh']
Kickboxer: Vengeance	41	43	2016	['John Stockwell']
Delta Farce	5	38	2007	['C.B. Harding']
El ciudadano ilustre	100	85	2016	['Gastón Duprat', 'Mariano Cohn']
Chemical Hearts	59	69	2020	['Richard Tanne']
Godmothered	68	58	2020	['Sharon Maguire']
Naissance des pieuvres	81	68	2007	['Céline Sciamma']
Me and Orson Welles	85	61	2008	['Richard Linklater']
Bachna Ae Haseeno	63	56	2008	['Siddharth Anand']
Burnt Offerings	50	43	1976	['Dan Curtis']
Sex and Death 101	27	42	2007	['Daniel Waters']
Scum	89	91	1979	['Alan Clarke']
Saving Face	86	88	2004	['Alice Wu']
Rob the Mob	81	57	2014	['Raymond De Felitta']
Destry Rides Again	96	82	1939	['George Marshall']
Une vie de chat	83	72	2010	['Jean-Loup Felicioli', 'Alain Gagnol']
Class of 1984	75	67	1982	['Mark L. Lester']
Hannah Arendt	88	75	2012	['Margarethe von Trotta']
Queen of the Desert	18	35	2015	['Werner Herzog']
Novocaine	38	38	2001	['David Atkins']
Jenny's Wedding	25	34	2015	['Mary Agnes Donoghue']
Feeling Minnesota	14	27	1996	['Steven Baigelman']
400 Days	22	12	2015	['Matt Osterman']
Thirteen Conversations About One Thing	83	71	2001	['Jill Sprecher']
The Paradine Case	77	48	1947	['Alfred Hitchcock']
Full Frontal	39	27	2002	['Steven Soderbergh']
Father of the Year	0	50	2018	['Tyler Spindel']
Only the Lonely	64	50	1991	['Chris Columbus']
Auntie Mame	93	93	1958	['Morton DaCosta']
Girlfight	88	75	2000	['Karyn Kusama']
Holidays	50	24	2016	['Directors', 'Anthony Scott Burns', 'Kevin Kölsch', 'Nicholas McCarthy']
My Father the Hero	20	54	1994	['Steve Miner']
Written on the Wind	82	76	1956	['Douglas Sirk']
It's a Disaster	80	59	2012	['Todd Berger']
Unaccompanied Minors	29	53	2006	['Paul Feig']
Land and Freedom	79	94	1995	['Ken Loach']
1BR	88	52	2019	['David Marmor']
Ishtar	37	39	1987	['Elaine May']
For Richer or Poorer	14	46	1997	['Bryan Spicer']
Extreme Movie	None	18	2008	['Adam Jay Epstein', 'Andrew Jacobson']
Errementari	80	71	2017	['Paul Urkijo Alijo']
To End All Wars	62	85	2001	['David L. Cunningham']
Action Point	15	26	2018	['Tim Kirkby']
Ghosts of Mississippi	43	62	1996	['Rob Reiner']
A Single Shot	49	31	2013	['David M. Rosenthal']
The Naked Spur	100	76	1953	['Anthony Mann']
Our Hospitality	96	90	1923	['John G. Blystone', 'Buster Keaton']
Gloria Bell	91	46	2018	['Sebastián Lelio']
Small Town Crime	79	66	2017	['Eshom Nelms', 'Ian Nelms']
Klovn: The Movie	74	68	2010	['Mikkel Nørgaard']
Coffy	79	75	1973	['Jack Hill']
Home of the Brave	22	46	2006	['Irwin Winkler']
The Band Wagon	100	82	1953	['Vincente Minnelli']
Action Jackson	13	32	1988	['Craig R. Baxley']
Beyond the Valley of the Dolls	77	72	1970	['Russ Meyer']
Twixt	26	18	2011	['Francis Ford Coppola']
Mr. Baseball	12	41	1992	['Fred Schepisi']
Graveyard Shift	0	23	1990	['Ralph S. Singleton']
Eddie	18	36	1996	['Steve Rash']
Come Play	56	67	2020	['Jacob Chase']
The Man with the Golden Arm	81	84	1955	['Otto Preminger']
Metropolitan	93	85	1990	['Whit Stillman']
Brain Damage	64	63	1988	['Frank Henenlotter']
On Chesil Beach	68	61	2017	['Dominic Cooke']
Other People	85	79	2016	['Chris Kelly']
Dark Victory	88	81	1939	['Edmund Goulding']
An	85	85	2015	['Naomi Kawase']
Blancanieves	95	84	2012	['Pablo Berger']
Scenic Route	67	50	2013	['Kevin Goetz', 'Michael Goetz']
Cosmic Sin	3	58	2021	['Edward Drake']
Elephant White	None	28	2011	['Prachya Pinkaew']
Ill Manors	77	71	2012	['Plan B']
Titane	88	83	2021	['Julia Ducournau']
City of Lies	51	80	2018	['Brad Furman']
The Last Days of American Crime	0	22	2020	['Olivier Megaton']
Strange Magic	18	52	2015	['Gary Rydstrom']
Ala Vaikunthapurramuloo	100	84	2020	['Trivikram Srinivas']
Merantau	None	62	2009	['Gareth Evans']
The I Inside	43	43	2004	['Roland Suso Richter']
Mishima: A Life in Four Chapters	89	91	1985	['Paul Schrader']
Potiche	83	61	2010	['François Ozon']
Bordertown	None	64	2007	['Gregory Nava']
Theeb	97	75	2014	['Naji Abu Nowar']
Madea's Witness Protection	19	66	2012	['Tyler Perry']
Spinning Man	42	37	2018	['Simon Kaijser']
Muhsin Bey	None	96	1987	['Yavuz Turgul']
The Lady	36	62	2011	['Luc Besson']
Belly	16	87	1998	['Hype Williams']
Rules Don't Apply	55	33	2016	['Warren Beatty']
All the Real Girls	72	78	2003	['David Gordon Green']
Redacted	45	45	2007	['Brian De Palma']
Jerusalema	77	78	2008	['Ralph Ziman']
Heartburn	45	46	1986	['Mike Nichols']
Otherhood	26	54	2019	['Cindy Chupack']
Rosewater	76	67	2014	['Jon Stewart']
Hearts Beat Loud	92	73	2018	['Brett Haley']
Kuffs	28	48	1992	['Bruce A. Evans']
The Grey Zone	69	74	2001	['Tim Blake Nelson']
Bell Book and Candle	75	65	1958	['Richard Quine']
Ernest Saves Christmas	36	42	1988	['John R. Cherry III']
Jumping the Broom	58	58	2011	['Salim Akil']
Billa 2	None	55	2012	['Chakri Toleti']
The Bang Bang Club	48	60	2010	['Steven Silver']
Forever Strong	29	75	2008	['Ryan Little']
Legal Eagles	44	32	1986	['Ivan Reitman']
Monsters: Dark Continent	17	16	2014	['Tom Green']
Ginger Snaps Back: The Beginning	None	55	2004	['Grant Harvey']
Waiting to Exhale	60	79	1995	['Forest Whitaker']
The Perfect Guy	18	51	2015	['David M. Rosenthal']
Next Day Air	21	31	2009	['Benny Boom']
Johnny Stecchino	46	85	1991	['Roberto Benigni']
I Still Believe	51	98	2020	['Andrew Erwin', 'Jon Erwin']
The Mortuary Collection	95	70	2019	['Ryan Spindell']
The Curse of Frankenstein	81	77	1957	['Terence Fisher']
Snow White: A Tale of Terror	55	57	1997	['Michael Cohn']
Words and Pictures	43	50	2013	['Fred Schepisi']
Little Big League	35	53	1994	['Andrew Scheinman']
Geronimo: An American Legend	48	51	1993	['Walter Hill']
Christmas Inheritance	43	34	2017	['Ernie Barbarash']
When the Wind Blows	88	88	1986	['Jimmy T. Murakami']
Tom and Huck	25	42	1995	['Peter Hewitt']
How to Talk to Girls at Parties	48	38	2017	['John Cameron Mitchell']
That's What I Am	60	68	2011	['Michael Pavone']
Magic	85	64	1978	['Richard Attenborough']
Mary Kom	88	62	2014	['Omung Kumar']
The Tashkent Files	0	76	2019	['Vivek Agnihotri']
Manam	None	79	2014	['Vikram K. Kumar']
Enter Nowhere	None	51	2011	['Jack Heller']
Matinee	92	62	1993	['Joe Dante']
Catch a Fire	75	71	2006	['Phillip Noyce']
Carrie Pilby	63	74	2016	['Susan Johnson']
Class	29	50	1983	['Lewis John Carlino']
Shotgun Stories	90	80	2007	['Jeff Nichols']
First Sunday	12	57	2008	['David E. Talbert']
White Girl	70	46	2016	['Elizabeth Wood']
Maqbool	None	93	2003	['Vishal Bhardwaj']
Joe Somebody	21	27	2001	['John Pasquin']
Tere Bin Laden	None	56	2010	['Abhishek Sharma']
The Snow Walker	86	79	2003	['Charles Martin Smith']
Big Time Adolescence	85	83	2019	['Jason Orley']
La French	77	71	2014	['Cédric Jimenez']
Pretty Baby	71	59	1978	['Louis Malle']
Lust Stories	100	63	2018	['Directors', 'Zoya Akhtar', 'Dibakar Banerjee', 'Karan Johar']
Kama Sutra: A Tale of Love	40	71	1996	['Mira Nair']
Woman on Top	34	42	2000	['Fina Torres']
Enduring Love	59	60	2004	['Roger Michell']
8 Heads in a Duffel Bag	11	35	1997	['Tom Schulman']
Altered	None	43	2006	['Eduardo Sánchez']
Jude	81	73	1996	['Michael Winterbottom']
Hondo	88	74	1953	['John Farrow']
The Truth About Charlie	34	27	2002	['Jonathan Demme']
Cactus Flower	88	81	1969	['Gene Saks']
Spontaneous	97	67	2020	['Brian Duffield']
Stage Beauty	64	78	2004	['Richard Eyre']
Pretty Persuasion	33	62	2005	['Marcos Siega']
Guava Island	74	75	2019	['Hiro Murai']
In Fabric	91	50	2018	['Peter Strickland']
High Art	76	77	1998	['Lisa Cholodenko']
Lucky Numbers	22	19	2000	['Nora Ephron']
Rust Creek	85	61	2018	['Jen McGowan']
Annette	71	76	2021	['Leos Carax']
Ishqiya	None	62	2010	['Abhishek Chaubey']
The Recall	0	27	2017	['Mauro Borrelli']
Airport '77	33	32	1977	['Jerry Jameson']
Father Goose	80	86	1964	['Ralph Nelson']
Dying of the Light	11	15	2014	['Paul Schrader']
Tender Mercies	84	82	1983	['Bruce Beresford']
Bats	17	14	1999	['Louis Morneau']
Sidney Hall	11	78	2017	['Shawn Christensen']
Baskin	80	47	2015	['Can Evrenol']
Faces	83	87	1968	['John Cassavetes']
About Cherry	14	16	2012	['Stephen Elliott']
The Last Full Measure	60	96	2019	['Todd Robinson']
See You Yesterday	93	39	2019	['Stefon Bristol']
Airport 1975	29	37	1974	['Jack Smight']
Triage	None	53	2009	['Danis Tanovic']
Luka Chuppi	31	55	2019	['Laxman Utekar']
Beyond the Reach	37	20	2014	['Jean-Baptiste Léonetti']
Twin Peaks: The Missing Pieces	None	79	2014	['David Lynch']
Le Mans	69	79	1971	['Lee H. Katzin']
Opening Night	96	90	1977	['John Cassavetes']
The Little Vampire	55	55	2000	['Uli Edel']
Judwaa 2	33	33	2017	['David Dhawan']
Submarino	None	79	2010	['Thomas Vinterberg']
Life Stinks	18	45	1991	['Mel Brooks']
Foolproof	None	63	2003	['William Phillips']
Recess: School's Out	60	56	2001	['Chuck Sheetz']
Ex Drummer	44	71	2007	['Koen Mortier']
La ragazza nella nebbia	75	62	2017	['Donato Carrisi']
Mephisto	78	84	1981	['István Szabó']
Sands of Iwo Jima	100	80	1949	['Allan Dwan']
Baaghi 2	36	59	2018	['Ahmed Khan']
Miracle Mile	90	73	1988	['Steve De Jarnatt']
Thalaivaa	None	53	2013	['A.L. Vijay']
Hilary and Jackie	88	83	1998	['Anand Tucker']
Eye of the Needle	82	74	1981	['Richard Marquand']
The Best Man	72	86	1999	['Malcolm D. Lee']
What's New Pussycat	29	55	1965	['Clive Donner']
Dear Wendy	36	66	2005	['Thomas Vinterberg']
Naomi and Ely's No Kiss List	None	38	2015	['Kristin Hanggi']
Tamara	32	38	2005	['Jeremy Haft']
Wonderstruck	68	55	2017	['Todd Haynes']
Trail of the Pink Panther	25	33	1982	['Blake Edwards']
The Car	28	52	1977	['Elliot Silverstein']
Crooklyn	77	90	1994	['Spike Lee']
Catch That Kid	13	47	2004	['Bart Freundlich']
Hurlyburly	59	65	1998	['Anthony Drazan']
Without a Clue	64	72	1988	['Thom Eberhardt']
Elsker dig for evigt	93	90	2002	['Susanne Bier']
The Souvenir	89	36	2019	['Joanna Hogg']
Someone to Watch Over Me	65	41	1987	['Ridley Scott']
Performance	85	78	1970	['Donald Cammell', 'Nicolas Roeg']
My Favorite Wife	85	82	1940	['Garson Kanin']
Reeker	None	22	2005	['Dave Payne']
White Zombie	86	58	1932	['Victor Halperin']
The Nun's Story	83	81	1959	['Fred Zinnemann']
Freelancers	None	30	2012	['Jessy Terrero']
The Dam Busters	100	84	1955	['Michael Anderson']
Psycho Goreman	92	63	2020	['Steven Kostanski']
Suburban Commando	15	32	1991	['Burt Kennedy']
Beau travail	85	78	1999	['Claire Denis']
Troop Beverly Hills	14	62	1989	['Jeff Kanew']
Dahmer	72	40	2002	['David Jacobson']
Death Defying Acts	42	26	2007	['Gillian Armstrong']
I soliti ignoti	89	90	1958	['Mario Monicelli']
