title	themes	movie_moods	keywords	date	directors
Conquest of the Planet of the Apes	['Fantastic Reality']	['Monkeys']	['animal', 'ape', 'attack', 'cat', 'dog', 'freedom', 'post-nuclear-holocaust', 'revolution', 'science-runs-amok', 'slavery', 'survivor']	1972	['J. Lee Thompson']
In a World...	['Only Human']	['Fathers and Daughters', 'Ladder to the Top', 'Office Politics']	['ambition', 'coach', 'rival', 'sister', 'success', 'technician', 'voice[speaking]']	2013	['Lake Bell']
Auf der anderen Seite	['Only Human']	['Immigrant Life', 'Fathers and Sons', 'Prostitutes', 'Death of a Partner', 'Domestic Abuse', 'Mothers and Daughters']	['arrest', 'deportation', 'fate', 'Germany', 'imprisonment', 'language-instruction', 'police']	2007	['Fatih Akin']
Stay Alive	['Blood and Gore']	['Computer Paranoia', 'Technology Run Amok', 'Virtual Reality']	['Elizabeth', 'Bathory', 'computer-games', 'sadist', 'video-games', 'murder', 'spell[magic]', 'suspect']	2006	['William Brent Bell']
To Live and Die in L.A.	['Tough Guys', 'Adrenaline Rush']	['Obsessive Quests', 'Rogue Cops']	['law-enforcement', 'bad-guy', 'counterfeit', 'espionage', 'federal-agent', 'good-guy', 'killing', 'murder', 'police', 'revenge']	1985	['William Friedkin']
Fatherhood	['Only Human']	['Fathers and Daughters']	['death-in-family', 'father-figure', 'single-parent', 'struggle', 'unprepared']	2021	['Paul Weitz']
Hors de prix	['In the Mood for Love', 'Just for Fun']	['Cons and Scams', 'Battle of the Sexes']	['bartender', 'hotel', 'money', 'relationship', 'widow/widower']	2006	['Pierre Salvadori']
Nelyubov	['A World of Its Own']	['Breakups and Divorces', 'Crumbling Marriages', 'Missing Persons', 'Parenthood']	['arguing', 'divorce', 'missing-person', 'Russia', 'Russian-language']	2017	['Andrey Zvyagintsev']
Melinda and Melinda	['Comedy on the Edge']	['Crumbling Marriages', 'Infidelity', 'Romantic Betrayal']	['alcoholism', 'break-up[romantic]', 'cheating', 'dentist', 'divorce', 'downward-mobility', 'extramarital-affair', 'jazz', 'marital-problems', 'mistress']	2004	['Woody Allen']
White Oleander	['A Good Cry', 'Estrogen Shot']	['Innocence Lost', 'Mothers and Daughters', 'Kids in Trouble', 'First Love']	['angst', 'artist', 'daughter', 'foster-family', 'foster-home', 'mother', 'murder', 'prison', 'runaway[from', 'home]', 'trial[courtroom]', 'born-again', 'accusation', 'actor']	2002	['Peter Kosminsky']
Regarding Henry	['A Good Cry']	['Amnesia', 'Living With Disability', 'Redemption']	['assault', 'brain-damage', 'compassion', 'conscience', 'family', 'family-tragedy', 'forbidden-love', 'injury', 'lawyer', 'love', 'robbery', 'self-discovery', 'shoot-out', 'transformation', 'tyrant', 'weapons']	1991	['Mike Nichols']
Firestarter	['Adrenaline Rush', 'Fantastic Reality', 'Nail-biters', 'Spellbinders']	['Psychic Abilities', 'Experiments Gone Awry', 'Flight of the Innocent']	['supernatural', 'chase', 'child', 'drugs', 'experiment', 'firestarters', 'good-vs-evil', 'government', 'scientist', 'supernatural-forces', 'teenagers', 'telekinesis']	1984	['Mark L. Lester']
Krull	['Other Dimensions']	['Daring Rescues', 'Heroic Mission', 'Woman In Jeopardy']	['girlfriend', 'alien[not', 'human]', 'damsel-in-distress', 'good-vs-evil', 'kidnapping', 'monster', 'prince', 'quest', 'rescue', 'sword-and-sorcery']	1983	['Peter Yates']
Darkness Falls	['Nail-biters']	['Haunted By the Past']	['curse', 'monster', 'witch', 'fear', 'ghost', 'mask[disguise]', 'myth', 'small-town', 'teeth', 'childhood', 'folklore', 'legend[fable]', 'childhood-friend', 'hometown', 'lighthouse', 'story']	2003	['Jonathan Liebesman']
The Nutcracker and the Four Realms	['A World of Its Own', 'Other Dimensions']	['Death of a Parent', 'Fantasy Lands', 'Finding a Way Back Home', 'Magically Transported']	['betrayal', 'fairytale', 'fantasy-world', 'fetish[magical', 'object]', 'godfather[guardian]', 'key[door]', 'magic', 'parallel-dimensions', 'soldier', 'tyrant']	2018	['Lasse Hallström', 'Joe Johnston']
The 15:17 to Paris	['Off the Beaten Path']	"[""Men's Friendship"", 'Military Life', 'Terrorism', 'Train Rides']"	['Europe', 'hero', 'military', 'terrorist', 'train-trips']	2018	['Clint Eastwood']
Dabangg	['Tough Guys']	['Crisis of Conscience', 'Police Corruption']	['love', 'police-corruption']	2010	['Abhinav Kashyap']
Spartan	['Nail-biters']	['Political Corruption', 'Kidnapping', 'Missing Persons', 'Obsessive Quests', 'Race Against Time']	['federal-agent', 'Secret-Service', 'cover-up', 'daughter', 'kidnapping', 'President', 'conspiracy', 'Middle-East', 'prostitute/prostitution', 'white-slavery']	2004	['David Mamet']
Die fetten Jahre sind vorbei	['Food for Thought', 'Unloveables']	['Kidnapping', 'Unlikely Criminals', 'Class Differences', 'Faltering Friendships', 'Love Triangles']	['kidnapping', 'activism', 'left-wing', 'militant', 'radical']	2004	['Hans Weingartner']
Hysteria	['Carnal Knowledge']	['Doctors and Patients', 'Fighting the System']	['daughter', 'doctor', 'hysteria', 'Victorian']	2011	['Tanya Wexler']
Tomorrow, When the War Began	['Adrenaline Rush']	['Twins and Lookalikes']	['Australia', 'invasion', 'teenagers', 'war']	2010	['Stuart Beattie']
City Island	['In the Mood for Love']	['Eccentric Families', 'Suburban Dysfunction']	['dysfunctional', 'family', 'fetish[sexual]', 'island', 'prison-guard']	2009	['Raymond De Felitta']
Danny Collins	['Triumph of the Spirit']	"['All Washed Up', 'Fathers and Sons', ""Musician's Life"", 'Priceless Artifacts and Prized Objects']"	['aging', 'celebrity', 'rock-star', 'son']	2015	['Dan Fogelman']
Kangaroo Jack	['Just for Fun']	['Nothing Goes Right', 'Americans Abroad', 'Cons and Scams', 'Fish Out of Water']	['Australia', 'kangaroo', 'Outback', 'crime-lord', 'money', 'hairdresser', 'stepfather', 'wildlife']	2003	['David McNally']
2 Days in Paris	['Strictly Speaking']	['Americans Abroad', 'Culture Clash', 'Fish Out of Water']	['couple', 'ex-boyfriend', 'neurotic', 'parent', 'Parisian', 'photographer', 'interior-design']	2007	['Julie Delpy']
Angels in the Outfield	['Fantastic Reality', 'Pick-Me-Ups']	['Angels', 'Baseball Players', 'Underdogs', 'Wishes Come True']	['orphan', 'team', 'angel', 'assistance', 'baseball', 'coach', 'family', 'foster-family', 'sports']	1994	['William Dear']
Blue Crush	['Adrenaline Rush']	['Class Differences', 'Down on Their Luck', 'Questioning Gender Roles', 'Sibling Relationships', 'Surfing', 'Underdogs']	['surfing', 'beach', 'extreme-sports', 'friendship', 'love-vs-career', 'competition', 'sister', 'quarterback']	2002	['John Stockwell']
The Diary of a Teenage Girl	['Comedy on the Edge', 'Memory Lane', 'Only Human']	['Age Disparity Romance', 'First Love', 'High School Life', 'Innocence Lost', 'Misfits and Outsiders', 'Rape & Sexual Abuse', 'Sexual Awakening']	['bohemian', 'boyfriend', 'diary', 'drawing[art]', 'sexual-awakening']	2015	['Marielle Heller']
Idioterne	['Comedy on the Edge']	['Existential Crisis', 'Suburban Dysfunction']	['eccentric', 'birthday', 'Danish[nationality]', 'idiot', 'middle-class', 'social-conventions', 'group', 'gang-rape']	1998	['Lars von Trier']
Aus dem Nichts	['Abandon All Hope']	['Death in the Family', 'Murder Investigations', 'Out For Revenge', 'Terrorism']	['bombing', 'criminal-justice', 'love', 'murder-trial', 'Neo-Nazi', 'revenge']	2017	['Fatih Akin']
The Three Stooges	['Just for Fun']	['Nothing Goes Right', 'Orphans', 'Stop the Wrecking Ball']	['brother', 'bumbler', 'moron']	2012	['Bobby Farrelly', 'Peter Farrelly']
Sid and Nancy	['Abandon All Hope']	['Self-Destructive Romance', 'Drug Addiction', 'Rise and Fall Stories', 'Star-Crossed Lovers']	['addiction', 'behind-the-scenes', 'concert', 'death', 'drugs', 'girlfriend', 'groupie', 'music', 'party', 'prison', 'rock-music', 'suicide', 'tragic-love', 'punk', 'fame']	1986	['Alex Cox']
The Informer	['Only Human', 'Tough Guys']	['Basketball Players', 'Contests, Pageants and Competitions', 'Escape From Prison', 'Police Corruption', 'Prison Life', 'Race Against Time']	['basketball', 'basketball-player', 'basketball-team', 'ex-convict', 'FBI', '(Federal', 'Bureau', 'of', 'Investigation)', 'Mob', 'police-corruption', 'prison', 'undercover']	2019	['Andrea Di Stefano']
Boat Trip	['Just for Fun']	['Mistaken Identities', 'Nothing Goes Right', 'Ship Cruises', 'Vacation Romances']	['ocean-cruise', 'cruise', 'oceanliner', 'homosexual', 'misunderstanding', 'travel-agent', 'break-up[romantic]', 'fiancee']	2002	['Mort Nathan']
Damien: Omen II	['Nail-biters']	['Evil Children', 'Demonic Possession', 'Devil Worship', 'Boarding School Life']	['Antichrist', 'cadet', 'devil-worship', 'evil', 'military-school', 'multiple-murder', 'Satan', 'satanic', 'Satanism', 'demon', 'demonic-possession', 'inheritance', 'teenagers', 'deal-with-the-devil']	1978	['Don Taylor', 'Mike Hodges']
Don't Breathe 2	['Blood and Gore']	['Crime Gone Awry', 'Haunted By the Past', 'Living With Disability', 'Lone Wolves']	['blindness[physical]', 'crime', 'loner', 'murder', 'revenge', 'robbery']	2021	['Rodo Sayagues']
Are We There Yet?	['Just for Fun']	['Mischievous Children', 'Nothing Goes Right', 'Single Parents']	['brat', 'cross-country', 'New-Year', 'offer', 'playboy', 'problem-child', 'road-trip']	2005	['Brian Levant']
Gilda	['In the Mood for Love']	['Femmes Fatales', 'Haunted By the Past', 'Love Triangles']	['casino', 'extramarital-affair', 'gambling', 'gangster', 'jealousy', 'love', 'love-triangle', 'missing', 'Nazism', 'revenge', 'romance', 'stripper', 'veteran[military]', 'war']	1946	['Charles Vidor']
Oscar	['Just for Fun']	['Fathers and Daughters', 'Going Straight']	['bad-guy-turns-good', 'con/scam', 'finances', 'gangster', 'going-straight', 'mistaken-identity', 'mob-boss', 'promise', 'role-switching']	1991	['John Landis']
The Immigrant	['Angsty']	['Immigrant Life', 'Love Triangles', 'Prostitutes']	['exploitation', 'immigrant', 'love', 'Polish[nationality]', 'prostitute/prostitution', 'quarantine', 'sister', 'magician[performer]']	2013	['James Gray']
The Monster Squad	['Pick-Me-Ups', 'Triumph of the Geeks']	['Heroic Mission', 'Mischievous Children', 'Mummies', 'Vampires', 'Werewolves']	['exterminator', 'child', 'club[organization]', 'community', 'Dracula', 'Frankenstein', 'friendship', 'home-alone', 'investigation', 'monster', 'mummy', 'murder', 'search', 'vampire', 'werewolf']	1987	['Fred Dekker']
Tank Girl	['Fantastic Reality']	"[""Criminal's Revenge"", 'Future Dystopias', 'Heroic Mission', 'Post-Apocalypse', 'Terrorism']"	['against-all-odds', 'escape', 'oppression', 'post-nuclear-holocaust', 'rebel', 'Superhero', 'terrorism', 'world-domination']	1995	['Rachel Talalay']
Cleopatra	['In the Mood for Love']	['Crowned Heads', 'Heroic Mission', 'Love Triangles', 'Out For Revenge', 'Star-Crossed Lovers']	['betrayal', 'death', 'forbidden-love', 'history', 'love', 'queen[royalty]', 'romance', 'seduction', 'suicide', 'tragic-love']	1963	['Joseph L. Mankiewicz']
Superbabies: Baby Geniuses 2	['Just for Fun']	['Heroic Mission', 'Mischievous Children']	['mind-control', 'satellite', 'Superhero', 'toddlers', 'villain', 'world-domination']	2004	['Bob Clark']
The Darkest Minds	['Adrenaline Rush']	['Escape From Prison', 'Future Dystopias', 'On the Run', 'Redemption']	['camp', 'escape', 'future', 'imprisonment', 'resistance-fighters', 'super-power', 'teenagers']	2018	['Jennifer Yuh Nelson']
Anacondas: The Hunt for the Blood Orchid	['Adrenaline Rush', 'Blood and Gore']	['When Animals Attack', 'Faltering Friendships']	['snake', 'Borneo', 'jungle', 'killer-animal', 'man-eater', 'man-vs-animal', 'orchid']	2004	['Dwight H. Little']
Cypher	['Head Trips']	['Future Dystopias', 'Femmes Fatales', 'Office Politics']	['corporate-espionage', 'double-agent', 'double-life']	2002	['Vincenzo Natali']
Vampire Hunter D: Bloodlust	['Nail-biters']	['Future Dystopias', 'Kidnapping', 'Vampires', 'Woman In Jeopardy']	['hybrid', 'kidnapping', 'supernatural-forces', 'vampire', 'warrior']	2000	['Jack Fletcher', 'Yoshiaki Kawajiri']
Village of the Damned	['Fantastic Reality', 'Nail-biters']	['Evil Aliens', 'Evil Children', 'Mind Games', 'Psychic Abilities']	['invasion', 'pregnancy', 'alien[not', 'human]', 'impregnation', 'picnic', 'telepathy', 'unconscious', 'world-domination']	1995	['John Carpenter']
Romeo and Juliet	['A Good Cry', 'In the Mood for Love']	['Feuds', 'Forbidden Love', 'Star-Crossed Lovers']	['star-crossed-lovers', 'romance', 'suicide', 'tragic-love', 'family-feud', 'forbidden-love', 'passion', 'death', 'teenagers']	1968	['Franco Zeffirelli']
Home Again	['In the Mood for Love', 'Just for Fun']	['Age Disparity Romance', 'Looking For Love', 'Parenthood']	['ex-husband', 'filmmaker', 'guest-house', 'May-December-romance', 'middle-age', 'trio', 'woman']	2017	['Hallie Meyers-Shyer']
Nine to Five	['Estrogen Shot']	"['Battle of the Sexes', 'Boss from Hell', 'Fighting the System', 'Out For Revenge', ""Women's Friendship""]"	['boss[employer]', 'chauvinist', 'employment', 'injustice', 'office', 'revenge', 'secretary', 'woman', 'battle-of-the-sexes', 'sexual-harassment', 'business']	1980	['Colin Higgins']
Michael Collins	['For Love of Country']	['Political Unrest', 'Rise and Fall Stories', 'Fighting the System']	['British', 'Ireland', 'Irish[nationality]', 'political-intrigue', 'political-leader', 'political-tension', 'political-unrest', 'political-upheaval', 'terrorist-attack', 'violence']	1996	['Neil Jordan']
Howards End	['In a Minor Key']	['Class Differences', 'Infidelity', 'Sibling Relationships']	['woman', 'betrayal', 'class[social]', 'con/scam', 'death', 'Equal-Rights', 'extramarital-affair', 'family', 'forbidden-love', 'friendship', 'inheritance', 'killing', 'marriage', 'seduction', 'wealth', 'widow/widower']	1992	['James Ivory']
The Texas Chainsaw Massacre 2	['Blood and Gore']	['Cannibals', 'Obsessive Quests', 'Vigilantes', 'Woman In Jeopardy']	['chainsaw', 'family', 'cannibal', 'revenge', 'family-business', 'investigation', 'killing', 'labyrinth', 'lawman', 'murder', 'radio-broadcaster', 'radio-station', 'yuppies']	1986	['Tobe Hooper']
The Machine	['Adrenaline Rush', 'Fantastic Reality']	['Experiments Gone Awry', 'Robots and Androids']	['android', 'weapons']	2013	['Caradog W. James']
The Getaway	['Tough Guys']	['Lovers on the Lam', 'Bank Robbery', 'Crime Gone Awry', 'One Last Heist']	['bank-robbery', 'criminal', 'on-the-run', 'double-cross', 'husband-and-wife', 'parole-board/officer', 'veterinarian', 'prison']	1972	['Sam Peckinpah']
Celeste & Jesse Forever	['Blood and Gore']	['Breakups and Divorces']	['bonding[relationship]', 'friendship']	2012	['Lee Toland Krieger']
The Lion in Winter	['Strictly Speaking']	['Crowned Heads', 'Fathers and Sons', 'Mothers and Sons', 'Crumbling Marriages', 'Infidelity']	['British', 'heir', 'king', 'mistress', 'son', 'throne', 'Christmas']	1968	['Anthony Harvey']
Sliver	['Nail-biters']	['Dangerous Attraction', 'Woman In Jeopardy', 'Voyeurs', 'Mind Games']	['maniac', 'death', 'divorce', 'editor', 'evidence', 'investigation', 'killing', 'murder', 'neighbor', 'peeping-tom', 'rampage', 'sex', 'stalking', 'suspect', 'suspicion', 'trapped']	1993	['Phillip Noyce']
The Salton Sea	['Head Trips']	['Double Life', 'Drug Trade', 'Out For Revenge']	['amphetamines', 'drug-addiction', 'drug-trade', 'informer', 'narcotics-division', 'revenge', 'speed-freak', 'undercover']	2002	['D.J. Caruso']
Dragon: The Bruce Lee Story	['Tough Guys']	"[""Actor's Life"", 'Ladder to the Top', 'Rags To Riches']"	['martial-arts', 'master[expert]', 'philosophy', 'Chinese[nationality]', 'fighting', 'Kung-Fu', 'superstar', 'cross-cultural-relations', 'racism']	1993	['Rob Cohen']
The Wackness	['Off the Beaten Path']	['Doctors and Patients', 'Drug Trade', 'Therapy']	['drug-dealer', 'psychiatry']	2008	['Jonathan Levine']
The Prophecy	['Fantastic Reality']	['Demonic Possession']	['angel', 'good-vs-evil', 'guardian-angel', 'animosity', 'destruction', 'devil', 'humanity', 'insubordination', 'jealousy', 'mankind', 'obliteration', 'rebel', 'resentment', 'revolution', 'search', 'soul', 'uprising', 'war', 'Native-American']	1995	['Gregory Widen']
Police Academy 6: City Under Siege	['Gutbusters']	['Arrested Adolescence', 'Bumbling Cops']	['bank', 'bumbler', 'chaos', 'con/scam', 'crime-spree', 'misfit', 'police', 'police-academy', 'robbery', 'training', 'urban']	1989	['Peter Bonerz']
The Omega Man	['Nail-biters', 'Other Dimensions']	['Future Dystopias', 'Mutants', 'Post-Apocalypse', 'Zombies']	['devastation', 'future', 'monster', 'germ-warfare', 'last-man', 'survivor', 'mutant']	1971	['Boris Sagal']
Unfriended: Dark Web	['Nail-biters']	['Computer Paranoia', 'Stalkers']	['Internet', 'murder', 'camera', 'computer-programmer', 'computers', 'hacker', 'stalker']	2018	['Stephen Susco']
Back to School	['Just for Fun']	['Fish Out of Water', 'College Life', 'Fathers and Sons', 'Teachers and Students']	['business', 'college', 'college-student', 'diving', 'father', 'millionaire', 'professor', 'rival', 'son']	1986	['Alan Metter']
Cyborg	['Adrenaline Rush', 'Other Dimensions', 'Tough Guys']	['Post-Apocalypse', 'Robots and Androids', 'Bodyguards', 'Technology Run Amok']	['cyborg', 'post-nuclear-holocaust', 'bodyguard', 'disease', 'future', 'plague', 'robot', 'serum', 'mercenary', 'survivor', 'mutant']	1989	['Albert Pyun']
Anything Else	['In the Mood for Love', 'Strictly Speaking']	"['Twentysomething Life', ""Writer's Life""]"	['writer', 'career', 'eccentric', 'fear-of-commitment', 'girlfriend', 'neurotic', 'dreams-of-success', 'stand-up-comedy']	2003	['Woody Allen']
Above the Law	['Tough Guys']	['Rogue Cops', 'Drug Trade']	['against-all-odds', 'assassination', 'corruption', 'drug-ring', 'drugs', 'espionage', 'investigation', 'killing', 'martial-arts', 'one-against-odds', 'POW/MIA', 'robbery', 'torture']	1988	['Andrew Davis']
Stretch	['Nail-biters']	['Nothing Goes Right']	['bookie', 'driver', 'limousine', 'passenger']	2014	['Joe Carnahan']
Barbershop	['Pick-Me-Ups']	['Faltering Friendships', 'Generation Gap', 'Social Climbing']	['barber-shop', 'selling', 'community', 'heritage']	2002	['Tim Story']
Tequila Sunrise	['In the Mood for Love', 'Tough Guys']	['Drug Trade', 'Love Triangles']	['drug-dealer', 'police', 'love-triangle', 'con/scam', 'drugs', 'friendship', 'retirement']	1988	['Robert Towne']
Le mépris	['Food for Thought']	"['Filmmaking', 'Work Ethics', 'Boss from Hell', ""Writer's Life"", 'Creative Block']"	['accident', 'behind-the-scenes', 'car', 'director', 'filmmaker', 'love-triangle', 'producer[showbiz]']	1963	['Jean-Luc Godard']
Envy	['Comedy on the Edge']	['Faltering Friendships', 'Rags To Riches', 'Social Climbing', 'Big Break', 'Fired or Laid-Off', 'Suburban Dysfunction']	['jealousy', 'friendship', 'invention', 'resentment', 'bitterness', 'neighbor', 'factory-worker', 'middle-class', 'success']	2004	['Barry Levinson']
To Wong Foo Thanks for Everything, Julie Newmar	['Just for Fun']	['Gender-Bending']	['drag-queen', 'festival', 'friendship', 'road-trip', 'sheriff', 'small-town', 'cross-country']	1995	['Beeban Kidron']
Death on the Nile	['Spellbinders']	['Star Detectives', 'Murder Investigations', 'Ship Cruises']	['cruise', 'detective', 'eccentric', 'heir', 'inheritance', 'investigation', 'investigator', 'killing', 'murder', 'shipboard']	1978	['John Guillermin']
Piku	['Only Human', 'Pick-Me-Ups']	['Fathers and Daughters', 'Generation Gap', 'Journey of Self-Discovery', 'Managing Parental Relationships [k]']	['cross-country', 'daughter', 'elderly', 'father', 'journey', 'parent/child-relationship', 'road-trip', 'single-parent', 'slice-of-life', 'taxi']	2015	['Shoojit Sircar']
The Two Faces of January	['Nail-biters']	['Cons and Scams', 'Dangerous Friends']	['con-artist', 'paranoia', 'sightseeing', 'tour-guide']	2014	['Hossein Amini']
Frankie and Johnny	['In the Mood for Love']	['Single Life', 'Starting Over', 'Workplace Romance', 'Going Straight', 'Haunted By the Past']	['chef', 'diner', 'ex-convict', 'friendship', 'relationship', 'waiter', 'homosexual']	1991	['Garry Marshall']
Nanny McPhee and the Big Bang	['Fantastic Reality']	['Nannies and Caregivers']	['governess']	2010	['Susanna White']
Mannequin	['Fantastic Reality']	['Down on Their Luck', 'Lovers on the Lam', 'Reincarnation']	['afterlife', 'ancient', 'department-store', 'ghost', 'mannequin', 'reincarnation', 'romance', 'sculpture', 'supernatural-forces']	1987	['Michael Gottlieb']
Jason Goes to Hell: The Final Friday	['Blood and Gore']	['Serial Killers']	['afterlife', 'evil', 'ghost', 'gore', 'investigation', 'killing', 'maniac', 'murder', 'possession', 'rampage', 'slasher', 'supernatural', 'victim']	1993	['Adam Marcus']
In Your Eyes	['Estrogen Shot']	['Going Straight', 'Star-Crossed Lovers']	['doctor', 'ex-convict', 'romance', 'wife']	2014	['Brin Hill']
Popeye	['Just for Fun']	['Eccentric Families', 'Fathers and Sons', 'Daring Rescues']	['boating', 'father', 'girlfriend', 'kidnapping', 'love', 'love-triangle', 'missing-person', 'rescue', 'romance', 'sailor', 'search']	1980	['Robert Altman']
Hard Ball	['Pick-Me-Ups']	['Baseball Players', 'Inner City Blues', 'Redemption']	['baseball', 'coach', 'deal[agreement]', 'debt', 'gambling', 'housing-project', 'inner-city', 'Little-League', 'underachiever']	2001	['Brian Robbins']
Bound by Honor	['Tough Guys']	['Drug Addiction', 'Faltering Friendships', 'Going Straight', 'Inner City Blues']	['gangster', 'artist', 'convict', 'drugs', 'family', 'friendship', 'gang-war', 'narcotics-agent', 'poverty', 'racism', 'self-discovery', 'slice-of-life']	1993	['Taylor Hackford']
Lord of the Flies	['Abandon All Hope']	['Stranded', 'Innocence Lost', 'Living In Exile', 'Survival in the Wilderness', 'Air Disasters']	['boy', 'childhood-adventures', 'coming-of-age', 'crash', 'home-alone', 'island', 'killing', 'savage', 'stranded', 'student', 'survivor', 'teenagers']	1990	['Harry Hook']
Jeremiah Johnson	['Tough Guys']	['Lone Wolves', 'Survival in the Wilderness', 'White People Among Indians', 'Out For Revenge']	['trapper', 'revenge', 'survivor', 'death-in-family', 'hatred', 'massacre', 'mountains', 'Native-American', 'scalping', 'settler', 'wilderness', 'wildlife', 'hermit']	1972	['Sydney Pollack']
Nixon	['Food for Thought']	['Political Corruption', 'On the Campaign Trail', 'Conspiracies', 'Heads of State', 'Rise and Fall Stories']	['career', 'election', 'political-campaign', 'politician', 'power', 'President', 'US-government', 'Watergate', 'Quaker']	1995	['Oliver Stone']
Sweet Smell of Success	['Unloveables']	['Members of the Press', 'Work Ethics', 'Social Climbing', 'Crime Gone Awry', 'Sibling Relationships']	['tabloid', 'columnist', 'desperation', 'false-accusation', 'forbidden-love', 'frame-up', 'jealousy', 'musician', 'press-agent', 'scheme', 'sister']	1957	['Alexander Mackendrick']
Hatchet	['Blood and Gore']	['Nightmare Vacations', 'Serial Killers']	['axe-murderer', 'bayou', 'legend[fable]', 'Mardi-Gras', 'stripper', 'swamp']	2006	['Adam Green']
One Night at McCool's	['Comedy on the Edge']	['Dangerous Attraction', 'Femmes Fatales', 'Suburban Dysfunction']	['con/scam', 'femme-fatale', 'golddigger', 'temptress']	2001	['Harald Zwart']
Gods and Monsters	['In a Minor Key', 'Off the Beaten Path']	['Unrequited Love', 'Servants and Employers', 'Haunted By the Past', 'Unlikely Friendships', 'All Washed Up']	['director']	1998	['Bill Condon']
Big Nothing	['Just for Fun']	['Blackmail', 'Cons and Scams', 'Nothing Goes Right']	['blackmail', 'crime', 'dead-end-job', 'police-officer', 'priest', 'professor', 'scheme', 'telephone-operator', 'troublemaker']	2006	['Jean-Baptiste Andrea']
The Human Stain	['Food for Thought', 'In a Minor Key']	['Age Disparity Romance', 'Fired or Laid-Off', 'Haunted By the Past', 'Race Relations', 'Self-Destructive Romance']	['African-American', 'controversy', 'extramarital-affair', 'professor', 'racism', 'sex-scandal', 'writer']	2003	['Robert Benton']
Hiroshima mon amour	['Food for Thought']	['Haunted By the Past', 'Culture Clash']	['actor', 'bombing', 'compassion', 'France', 'love', 'occupation[military]', 'relationship']	1959	['Alain Resnais']
Micmacs à tire-larigot	['Just for Fun']	['Out For Revenge', 'Misfits and Outsiders', 'Facing Death', 'Haunted By the Past']	['revenge', 'group', 'weapons', 'weapons-dealer']	2009	['Jean-Pierre Jeunet']
Padmaavat	['For Love of Country']	['Culture Clash', 'Great Battles', 'Life on the Homefront']	['battle[war]', 'India', '(subcontinent)', 'king', 'queen[royalty]', 'self-sacrifice', 'Sultan']	2018	['Sanjay Leela Bhansali']
Omohide poro poro	['Only Human']	['Success is the Best Revenge']	['farmer', 'woman']	1991	['Isao Takahata']
Red River	['Tough Guys']	['Ranchers', 'Generation Gap', 'Lone Wolves', 'Taming the West']	['cattle-drive', 'cattlemen', 'ranch', 'trail-boss', 'tyrant', 'betrayal', 'capitalism', 'conflict', 'cowboy', 'obsession', 'rebel', 'shoot-out', 'son', 'stepfather', 'stepson', 'generation-gap', 'land-rights', 'Native-American']	1948	['Howard Hawks', 'Arthur Rosson']
The End of the Tour	['Food for Thought']	"['Existential Crisis', 'Journey of Self-Discovery', ""Men's Friendship"", ""Writer's Life""]"	['author', 'conversation', 'interview', 'journalist', 'road-trip']	2015	['James Ponsoldt']
The Exorcist III	['Food for Thought']	['Demonic Possession']	['exorcism', 'detective', 'evil-possession', 'good-vs-evil', 'mental-patient', 'Satan', 'demon', 'execution', 'investigation', 'murder', 'priest', 'supernatural', 'mutilation', 'serial-killer']	1990	['William Peter Blatty']
Problem Child	['Comedy on the Edge']	['Adoption', 'Fathers and Sons', 'Mischievous Children']	['adoption', 'arguing', 'brat', 'family', 'orphan', 'problem-child', 'yuppies']	1990	['Dennis Dugan']
Playing for Keeps	['Just for Fun']	['Coaches and Players', 'Soccer Players', 'Starting Over']	['coaching[sports]', 'ex-wife', 'homecoming', 'libido', 'soccer']	2012	['Gabriele Muccino']
Carne trémula	['Only Human']	['Haunted By the Past', 'Redemption', 'Dangerous Attraction']	['delivery-person', 'diplomat', 'drugs', 'fate', 'marriage', 'police', 'prison', 'prostitute/prostitution']	1997	['Pedro Almodóvar']
Dev.D	['In the Mood for Love']	['Existential Crisis', 'Forbidden Love']	['forbidden-love', 'self-destruction']	2009	['Anurag Kashyap']
Some Kind of Wonderful	['In the Mood for Love']	['High School Life', 'Class Differences', 'Opposites Attract', 'Unrequited Love']	['artist', 'class-consciousness', 'crush', 'high-school', 'tomboy', 'boyfriend', 'father']	1987	['Howard Deutch']
Ils	['Nail-biters']	['Trapped or Confined']	['intruder', 'siege', 'victim', 'couple', 'mansion', 'forest', 'teacher']	2006	['David Moreau', 'Xavier Palud']
All That Jazz	['Head Trips']	"[""Dancer's Life"", 'Fathers and Daughters']"	['choreographer', 'Broadway', 'heart-attack', 'heart-disease', 'musical[play]', 'near-death-experience', 'workaholic', 'amphetamines', 'womanizer', 'angel']	1979	['Bob Fosse']
Retfærdighedens ryttere	['Comedy on the Edge']	['Out For Revenge', 'Perfect Crime']	['death-in-family', 'father-figure', 'rampage', 'revenge', 'wife']	2020	['Anders Thomas Jensen']
Paranoid Park	['In a Minor Key', 'Off the Beaten Path']	['Kids in Trouble', 'Keeping a Secret', 'Murder Investigations']	['accidental-death', 'skateboarding', 'coming-of-age', 'police-investigation']	2007	['Gus Van Sant']
Blown Away	['Adrenaline Rush', 'Tough Guys']	"[""Criminal's Revenge"", 'Double Life', 'Haunted By the Past', 'Race Against Time', 'Terrorism']"	['bomb-squad', 'police', 'betrayal', 'duel', 'investigation', 'maniac', 'murder', 'seduction', 'terrorism']	1994	['Stephen Hopkins']
